"","morphotype","isolate","tree_sp","time","rep","pixels_per_cm","group","ppc_squared","threshold","leaf1","leaf2","area_pixels","area_cm","description","notes","threshold.1","leaf1.1","leaf2.1","area_pixels.1","area_cm.1","description.1","notes.1"
"139","SNPV","COL","GR",24,6,85.8005244739215,"control",7361.73,"134",1928,1072,3000,0.40751290797136,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"140","SNPV","COL","GR",24,6,85.8005244739215,"treatment",7361.73,"143",2798,2701,5499,0.746971160311503,"no change","filled flash",NA,NA,NA,NA,NA,NA,NA
"141","SNPV","COL","GR",24,7,85.9002328285552,"control",7378.85,"135",1777,2085,3862,0.523387790780406,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"142","SNPV","COL","GR",24,7,85.9002328285552,"treatment",7378.85,"137",2139,2319,4458,0.604159184696802,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"143","SNPV","COL","GR",24,8,85.9002328285552,"control",7378.85,"138",1953,1602,3555,0.481782391565081,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"144","SNPV","COL","GR",24,8,85.9002328285552,"treatment",7378.85,"143",2553,2464,5017,0.679916247111677,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"145","SNPV","COL","GR",24,9,85.9002328285552,"control",7378.85,"146",1919,2411,4330,0.586812308150999,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"146","SNPV","COL","GR",24,9,85.9002328285552,"treatment",7378.85,"140",2428,2221,4649,0.630043977042493,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"147","SNPV","COL","GR",24,10,85.9002328285552,"control",7378.85,"137",2536,2453,4989,0.676121617867283,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"148","SNPV","COL","GR",24,10,85.9002328285552,"treatment",7378.85,"143",3798,3339,7137,0.967223889901543,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"149","SNPV","COL","GR",24,11,86,"control",7396,"115",2411,3027,5438,0.73526230394808,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"150","SNPV","COL","GR",24,11,86,"treatment",7396,"115",1999,2099,4098,0.554083288263926,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"151","SNPV","COL","GR",24,12,86,"control",7396,"119",1696,1781,3477,0.470118983234181,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"152","SNPV","COL","GR",24,12,86,"treatment",7396,"114",1404,946,2350,0.317739318550568,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"153","SNPV","COL","GR",24,13,86,"control",7396,"118",1475,2307,3782,0.511357490535425,"change","",NA,NA,NA,NA,NA,NA,NA
"154","SNPV","COL","GR",24,13,86,"treatment",7396,"116",1095,1123,2218,0.299891833423472,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"155","SNPV","COL","GR",24,14,86,"control",7396,"145",2832,2765,5597,0.756760411032991,"no change","removed shadow; filled flash",NA,NA,NA,NA,NA,NA,NA
"156","SNPV","COL","GR",24,14,86,"treatment",7396,"145",2569,2386,4955,0.669956733369389,"no change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"157","SNPV","COL","GR",24,15,86,"control",7396,"136",2610,1279,3889,0.525824770146025,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"158","SNPV","COL","GR",24,15,86,"treatment",7396,"138",2906,1898,4804,0.649540292049757,"tiny change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"159","SNPV","COL","GR",24,16,86,"control",7396,"139",2769,1504,4273,0.577744726879394,"change","",NA,NA,NA,NA,NA,NA,NA
"160","SNPV","COL","GR",24,16,86,"treatment",7396,"141",895,1361,2256,0.305029745808545,"change","removed shadow",NA,NA,NA,NA,NA,NA,NA
"161","SNPV","COL","GR",48,1,85.8047201498845,"control",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"162","SNPV","COL","GR",48,1,85.8047201498845,"treatment",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"163","SNPV","COL","GR",48,2,85.8047201498845,"control",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"164","SNPV","COL","GR",48,2,85.8047201498845,"treatment",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"165","SNPV","COL","GR",48,3,85.8047201498845,"control",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"166","SNPV","COL","GR",48,3,85.8047201498845,"treatment",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
"167","SNPV","COL","GR",48,4,85.8047201498845,"control",7362.45,"",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA
